lincs ID,cluster
BRD-K03670461,6
BRD-K36737713,4
BRD-A14966924,6
BRD-K79131256,3
BRD-A90131694,16
BRD-K30020243,16
BRD-A09056319,11
BRD-A00993607,5
BRD-K35498378,9
BRD-A27554692,17
BRD-K67043667,7
BRD-A36010170,9
BRD-K43068349,16
BRD-K94512704,1
BRD-A25234499,12
BRD-A69917777,1
BRD-K17561142,16
BRD-A22032524,16
BRD-K02265150,11
BRD-K98490050,13
BRD-K62200014,6
BRD-K46937689,15
BRD-K12057390,9
BRD-A72758037,6
BRD-K45861246,3
BRD-K56558538,4
BRD-K52397688,2
BRD-K72726508,9
BRD-K04877770,10
BRD-A16694057,3
BRD-A26711594,16
BRD-K70327191,2
BRD-K86930074,16
BRD-A91008255,6
BRD-A02180903,14
BRD-A92177080,16
BRD-K70914287,14
BRD-A00546892,9
BRD-K39987650,11
BRD-A89175223,1
BRD-K39120595,12
BRD-A83326220,12
BRD-K47631482,14
BRD-A80151636,10
BRD-A68723818,5
BRD-A41995253,9
BRD-A60571864,13
BRD-A05186015,6
BRD-K93461745,5
BRD-K08287586,4
BRD-A15131297,15
BRD-K91699951,6
BRD-K14221570,15
BRD-K02404261,12
BRD-A65671304,9
BRD-K71799949,5
BRD-A29426959,16
BRD-A10977446,17
BRD-K02637541,1
BRD-K42500029,9
BRD-K29458283,5
BRD-A01593789,16
BRD-A91699651,1
BRD-K17075857,5
BRD-K89997465,7
BRD-A26384407,1
BRD-K67017579,6
BRD-K34157611,14
BRD-K14693417,14
BRD-K87343924,16
BRD-A26095496,12
BRD-K45252063,8
BRD-K29950728,7
BRD-K98530306,11
BRD-A55416093,8
BRD-A54487287,4
BRD-K23913458,4
BRD-K36055864,3
BRD-A69815203,2
BRD-K51290057,5
BRD-K06895174,9
BRD-A62184259,9
BRD-A92537424,16
BRD-K43389675,13
BRD-A39255369,6
BRD-A17819071,9
BRD-A58269583,14
BRD-K68558722,9
BRD-K60762818,13
BRD-A49447682,3
BRD-A10188456,11
BRD-A93424738,10
BRD-K08252256,11
BRD-K68507560,16
BRD-K95309561,14
BRD-K45542189,3
BRD-K45330754,16
